PlayerID,Fname,Lname,Position,Overall,TeamID,Age,Year,InjuryType,InjuryDuration,Potential,PlayerStatus,Hometown
pID1,Seth,Sanders,QB,66,tID1,23,Senior,,,60,Current,"Mount Healthy,OH"
pID2,Monte,Velazquez,QB,60,tID1,21,Senior,,,53,Current,"Warwick,ND"
pID3,Agustin,Rich,QB,60,tID1,20,Junior,,,60,Current,"Seneca,WI"
pID4,Raymond,Morales,QB,50,tID1,22,Senior,,,59,Current,"North Wantagh,NY"
pID5,Jeff,Wilkerson,RB,79,tID1,19,Sophomore,,,53,Current,"Boligee,AL"
pID6,Alex,Rodriquez,RB,47,tID1,20,Junior,,,50,Current,"Breckenridge,OK"
pID7,Giuseppe,Whitley,RB,74,tID1,21,Senior,,,46,Current,"Loraine,IL"
pID8,Earl,Santana,WR,66,tID1,20,Junior,,,81,Current,"Burlington Flats,NY"
pID9,Frankie,Shepard,WR,97,tID1,22,Senior,,,94,Current,"San Marine,OR"
pID10,Ismael,Byrd,WR,52,tID1,19,Sophomore,,,60,Current,"Fayetteville,AR"
pID11,Gerry,Fletcher,WR,41,tID1,19,Sophomore,,,71,Current,"Stanley,KY"
pID12,Jeremy,Combs,WR,70,tID1,19,Sophomore,,,98,Current,"Dallas,GA"
pID13,Scottie,Harrison,WR,82,tID1,20,Junior,,,68,Current,"Dewey-Humboldt,AZ"
pID14,Patrick,Green,WR,69,tID1,19,Sophomore,,,89,Current,"Whiteman AFB,MO"
pID15,Brenton,Vargas,WR,72,tID1,18,Freshman,,,77,Current,"Taylors Falls,MN"
pID16,Neal,Pacheco,TE,48,tID1,19,Sophomore,,,90,Current,"Supai,AZ"
pID17,Horacio,Cooper,TE,52,tID1,20,Junior,,,84,Current,"Plattsburgh West,NY"
pID18,Charles,West,TE,68,tID1,19,Sophomore,,,56,Current,"Bradford,IL"
pID19,Porfirio,Townsend,TE,68,tID1,21,Senior,,,71,Current,"Smithwick,SD"
pID20,Van,Luna,TE,51,tID1,20,Junior,,,78,Current,"Earl,NC"
pID21,Emile,Tanner,OT,62,tID1,20,Junior,,,86,Current,"Dutton,MT"
pID22,Ulysses,Dean,OT,56,tID1,20,Junior,,,67,Current,"Jersey,GA"
pID23,Nolan,Stewart,OT,76,tID1,21,Senior,,,49,Current,"Somerville,NJ"
pID24,Elliott,Tran,OG,52,tID1,19,Sophomore,,,60,Current,"Fort Payne,AL"
pID25,Micah,McCoy,OG,57,tID1,20,Junior,,,72,Current,"Kutztown,PA"
pID26,Tanner,Hunt,OG,52,tID1,19,Sophomore,,,50,Current,"White Signal,NM"
pID27,Teddy,York,C,69,tID1,19,Sophomore,,,69,Current,"Linwood,NE"
pID28,Dean,Mendoza,C,73,tID1,20,Junior,,,67,Current,"Layhill,MD"
pID29,Brent,Rivera,DE,41,tID1,19,Sophomore,,,71,Current,"Gasconade,MO"
pID30,Gail,Saunders,DE,80,tID1,23,Senior,,,40,Current,"Gannett,ID"
pID31,Carmen,Perez,DE,74,tID1,23,Senior,,,70,Current,"Lesslie,SC"
pID32,Christian,Stark,DE,95,tID1,18,Freshman,,,61,Current,"Bonner-West Riverside,MT"
pID33,Armand,Brady,DE,53,tID1,18,Freshman,,,91,Current,"Havana,ND"
pID34,Emmitt,Moreno,DT,72,tID1,20,Junior,,,52,Current,"Harveys Lake,PA"
pID35,Laurence,Stark,DT,60,tID1,19,Sophomore,,,61,Current,"Miami Beach,FL"
pID36,Manuel,Serrano,DT,52,tID1,21,Senior,,,66,Current,"Ford City,CA"
pID37,Trent,Lewis,DT,55,tID1,21,Senior,,,64,Current,"Adena,OH"
pID38,Booker,Kelley,DT,71,tID1,18,Freshman,,,44,Current,"Meansville,GA"
pID39,Everette,Whitfield,DT,90,tID1,18,Freshman,,,78,Current,"Troy,MT"
pID40,Emanuel,Graham,LB,53,tID1,20,Junior,,,96,Current,"Lake Ka-Ho,IL"
pID41,Gerard,Pitts,LB,75,tID1,21,Senior,,,51,Current,"Red Chute,LA"
pID42,Felix,Sharp,LB,61,tID1,20,Junior,,,55,Current,"Pittston,PA"
pID43,Tobias,Chan,LB,47,tID1,18,Freshman,,,82,Current,"Hopeland,PA"
pID44,Duncan,Mason,LB,54,tID1,19,Sophomore,,,58,Current,"McCamey,TX"
pID45,Leonel,Rodgers,LB,61,tID1,18,Freshman,,,65,Current,"Arpelar,OK"
